sku,name,slug,category,finish,price,stock_mode,stock_qty,lead_days,weight_kg,length_cm,width_cm,height_cm,ship_separately,image_glob,status
LM-ALT-CHI,Altar chico,altar-chico,Altares,,599,stock,5,3,2.0,30,30,30,no,img/Altar Chico/*.jpeg,publish
LM-ALT-CHI-NAT,Altar chico natural,altar-chico-natural,Altares,Natural,749,made_to_order,0,10,2.4,34,30,32,no,img/altar chico natural/*.jpeg,publish
LM-ALT-MED,Altar mediano,altar-mediano,Altares,,999,stock,5,5,4.5,45,40,45,yes,img/Altar mediano/*.jpeg,publish
LM-ALT-GRA,Altar grande,altar-grande,Altares,,1599,made_to_order,0,10,8.0,65,50,65,yes,img/Altar Grande/*.jpeg,publish
LM-ALT-GIG,Altar gigante,altar-gigante,Altares,,2499,made_to_order,0,15,15.0,100,70,100,yes,img/Altar Gigante/*.jpeg,publish
LM-MAS-ALT,Altar para mascotas,altar-para-mascotas,Altares,,899,made_to_order,0,10,3.5,45,38,55,yes,img/Altar Mascota/*.jpeg,publish
LM-NIC-001,Nicho personalizado,nicho-personalizado,Altares,,649,made_to_order,0,8,1.5,30,24,15,no,img/Nicho/*.jpeg,publish
LM-CRU-ALA,Cruz con alas,cruz-con-alas,Otras piezas,,699,made_to_order,0,8,2.5,55,40,12,no,img/Cruz con Alas/*.jpeg,publish
LM-ROP-MIN,Ropero mini de revelación,ropero-mini-revelacion,Otras piezas,,1199,made_to_order,0,12,5.0,55,35,20,yes,img/Ropero/*.jpeg,publish
